AAP,Advance Auto Parts Inc,Advance Auto Parts  Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh  North Carolina  it serves both professional installer and do-it-yourself (DIY) customers.,NYSE,Trade & Services,Retail-Auto & Home Supply Stores,04/10/2021 21:00
AAPL,Apple Inc,Apple Inc. is an American multinational technology company that specializes in consumer electronics  computer software  and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and  since January 2021  the world's most valuable company. As of 2021  Apple is the world's fourth-larges,NASDAQ,Technology,Electronic Computers,04/10/2021 21:00
AAQC,Accelerate Acquisition Corp,Accelerate Acquisition Corp. The company is headquartered in Short Hills  New Jersey.,NYSE,Real Estate & Construction,Blank Checks,04/10/2021 21:00
AAT,American Assets Trust Inc,American Assets Trust  Inc. is a self-managed  vertically integrated  full-service real estate investment trust  or REIT  based in San Diego  California. ,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
AATC,Image Sensing Systems Inc,None,NASDAQ,Life Sciences,Measuring & Controlling Devices  Nec,04/10/2021 21:00
AAU,Almaden Minerals Ltd,Almaden Minerals Ltd.  an exploration-stage company  is engaged in the acquisition  exploration and development of mineral properties in Canada and Mexico. The company is headquartered in Vancouver  Canada.,NYSE MKT,Energy & Transportation,Metal Mining,04/10/2021 21:00
AAWW,Atlas Air Worldwide Holdings Inc,Atlas Air Worldwide Holdings  Inc.  provides outsourced aircraft and aviation operating services. The company is headquartered in Purchase  New York.,NASDAQ,Energy & Transportation,Air Transportation  Nonscheduled,04/10/2021 21:00
AB,AllianceBernstein Holding L.P,AllianceBernstein Holding LP is a publicly owned investment manager. The company is headquartered in New York  New York.,NYSE,Finance,Investment Advice,04/10/2021 21:00
ABB,ABB Ltd,ABB Ltd manufactures and sells electrification  industrial automation and robotics and motion products for utility  industrial and transportation  and infrastructure customers globally. The company is headquartered in Zurich  Switzerland.,NYSE,Manufacturing,Switchgear & Switchboard Apparatus,04/10/2021 21:00
ABBV,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,NYSE,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ABC,AmerisourceBergen Corporation,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,NYSE,Trade & Services,Wholesale-Drugs  Proprietaries & Druggists' Sundries,04/10/2021 21:00
ABCB,Ameris Bancorp,Ameris Bancorp is the banking holding company for Ameris Bank providing a range of banking services to retail and business clients primarily in Georgia  Alabama  Florida and South Carolina. The company is headquartered in Atlanta  Georgia.,NASDAQ,Finance,State Commercial Banks,04/10/2021 21:00
ABCL,AbCellera Biologics Inc,AbCellera Biologics Inc. develops an antibody discovery platform. The company is headquartered in Vancouver  Canada.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ABCM,Abcam plc,Abcam plc  a life sciences company  researches  develops  and distributes biological reagents and tools for research  drug discovery  and diagnostics in the United States  China  Japan  Europe  the Middle East  Africa  and elsewhere. Pacific Asia. The company is headquartered in Cambridge  the United Kingdom.,NASDAQ,Technology,General,04/10/2021 21:00
ABEO,Abeona Therapeutics Inc,Abeona Therapeutics Inc.  a clinical-stage biopharmaceutical company  develops gene and cell therapies for rare  life-threatening genetic diseases. The company is headquartered in New York  New York.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ABEV,Ambev S.A,Ambev SA produces  distributes and sells beer  draft beer  carbonated soft drinks (CSD)  other non-alcoholic beverages  malt and food products in the Americas. The company is headquartered in So Paulo  Brazil.,NYSE,Manufacturing,Beverages,04/10/2021 21:00
ABG,Asbury Automotive Group Inc,Asbury Automotive Group  Inc. is an automobile retailer in the United States. The company is headquartered in Duluth  Georgia.,NYSE,Trade & Services,Retail-Auto Dealers & Gasoline Stations,04/10/2021 21:00
ABGI,ABG Acquisition Corp. I,ABG Acquisition Corp. The company is headquartered in New York  New York.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ABIO,ARCA biopharma Inc,ARCA biopharma  Inc.  a clinical-stage biopharmaceutical company  develops and markets genetically engineered therapies for cardiovascular disease. The company is headquartered in Westminster  Colorado.,NASDAQ,Life Sciences,In Vitro & In Vivo Diagnostic Substances,04/10/2021 21:00
ABM,ABM Industries Incorporated,ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company is headquartered in New York  New York.,NYSE,Technology,General,04/10/2021 21:00
ABMD,Abiomed Inc,Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers  Massachusetts and has three additional offices  two in Germany in the cities of Berlin and Aachen  and another in Tokyo  Japan.,NASDAQ,Life Sciences,Surgical & Medical Instruments & Apparatus,04/10/2021 21:00
ABNB,Airbnb Inc,Airbnb  Inc. is an American company that operates an online marketplace for lodging  primarily homestays for vacation rentals  and tourism activities  based in San Francisco  California.,NASDAQ,Trade & Services,Services-To Dwellings & Other Buildings,04/10/2021 21:00
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Acumen Pharmaceuticals  Inc.  a clinical-stage biopharmaceutical company  is dedicated to developing therapies for the treatment of Alzheimer's disease and other neurodegenerative diseases. The company is headquartered in Charlottesville  Virginia.,NASDAQ,Technology,General,04/10/2021 21:00
ABR,Arbor Realty Trust Inc,Arbor Realty Trust  Inc. invests in a diversified portfolio of structured financial assets in the commercial  single-family  and multi-family real estate markets in the United States. The company is headquartered in Uniondale  New York.,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
ABSI,Absci Corporation Common Stock,None,NASDAQ,Technology,General,04/10/2021 21:00
ABST,Absolute Software Corporation,Absolute Software Corporation develops  markets and provides a cloud-based endpoint visibility and control platform for the management and security of computing devices  applications and data for business and public sector organizations. The company is headquartered in Vancouver  Canada.,NASDAQ,Technology,Services-Prepackaged Software,04/10/2021 21:00
ABT,Abbott Laboratories,Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park  Illinois  United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today  it sells medical devices  diagnostics  branded generic medicines and nutritional prod,NYSE,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ABTX,Allegiance Bancshares Inc,Allegiance Bancshares  Inc. is the banking holding company for Allegiance Bank providing a range of commercial banking services primarily to small and medium-sized businesses  professionals  and individual clients. The company is headquartered in Houston  Texas.,NASDAQ,Finance,State Commercial Banks,04/10/2021 21:00
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation  a biopharmaceutical company  is dedicated to the discovery  development  and commercialization of a cure for patients with chronic hepatitis B virus (HBV) infection in the United States. The company is headquartered in Warminster  Pennsylvania.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ABVC,ABVC Biopharma  Inc. Common Stock,American BriVision (Holding) Corporation  a clinical-stage biopharmaceutical company  develops drugs and medical devices to meet unmet medical needs in the United States. ,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
AC,Associated Capital Group Inc,Associated Capital Group  Inc. provides investment advisory services in the United States. The company is headquartered in Greenwich  Connecticut.,NYSE,Finance,Security Brokers  Dealers & Flotation Companies,04/10/2021 21:00
ACA,Arcosa Inc,Arcosa  Inc. provides infrastructure related products and solutions for the construction  energy and transportation markets in North America. The company is headquartered in Dallas  Texas.,NYSE,Manufacturing,Fabricated Structural Metal Products,04/10/2021 21:00
ACAD,ACADIA Pharmaceuticals Inc,ACADIA Pharmaceuticals Inc.  a biopharmaceutical company  focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company is headquartered in San Diego  California.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACAH,Atlantic Coastal Acquisition Corp,Atlantic Coastal Acquisition Corp. The company is headquartered in San Francisco  California.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACAHU,Atlantic Coastal Acquisition Corp,Atlantic Coastal Acquisition Corp. The company is headquartered in San Francisco  California.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACAHW,Atlantic Coastal Acquisition Corp,Atlantic Coastal Acquisition Corp. The company is headquartered in San Francisco  California.,NASDAQ,Technology,General,04/10/2021 21:00
ACB,Aurora Cannabis Inc,Aurora Cannabis Inc. produces and distributes medical cannabis products globally. The company is headquartered in Edmonton  Canada.,NASDAQ,Life Sciences,Medicinal Chemicals & Botanical Products,04/10/2021 21:00
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Ace Global Business Acquisition Limited focuses on effecting a merger  share exchange  asset acquisition  share purchase  recapitalization  reorganization or similar business combination with one or more companies or entities. The company is headquartered in Central  Hong Kong.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACBAU,Ace Global Business Acquisition Limited,Ace Global Business Acquisition Limited focuses on effecting a merger  share exchange  asset acquisition  share purchase  recapitalization  reorganization or similar business combination with one or more companies or entities. The company is headquartered in Central  Hong Kong.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACBAW,Ace Global Business Acquisition Limited,Ace Global Business Acquisition Limited focuses on effecting a merger  share exchange  asset acquisition  share purchase  recapitalization  reorganization or similar business combination with one or more companies or entities. The company is headquartered in Central  Hong Kong.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACBI,Atlantic Capital Bancshares Inc,Atlantic Capital Bancshares  Inc. is the banking holding company for Atlantic Capital Bank  NA offering banking products and services. The company is headquartered in Atlanta  Georgia.,NASDAQ,Finance,State Commercial Banks,04/10/2021 21:00
ACC,American Campus Communities Inc,American Campus Communities  Inc. is the largest owner  manager  and developer of high-quality student housing communities in the United States. ,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
ACCD,Accolade Inc,Accolade  Inc. develops and provides technology solutions that help people understand  navigate  and utilize the health care system and benefits of their workplace in the United States. The company is headquartered in Plymouth Meeting  Pennsylvania.,NASDAQ,Trade & Services,Services-Business Services  Nec,04/10/2021 21:00
ACCO,ACCO Brands Corporation,ACCO Brands Corporation designs  manufactures and markets consumer  school  technology and office products. The company is headquartered in Lake Zurich  Illinois.,NYSE,Manufacturing,Blankbooks  Looseleaf Binders & Bookbindg & Relatd Work,04/10/2021 21:00
ACEL,Accel Entertainment Inc,Accel Entertainment  Inc.  is a distributed games operator in the United States. The company is headquartered in Burr Ridge  Illinois.,NYSE,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACER,Acer Therapeutics Inc,Acer Therapeutics Inc.  a pharmaceutical company  focuses on the acquisition  development and commercialization of therapies for serious rare and life-threatening diseases. The company is headquartered in Newton  Massachusetts.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACET,Adicet Bio Inc,Adicet Bio  Inc.  a biotechnology company  discovers and develops allogeneic gamma delta T cell therapies for cancer and other diseases. The company is headquartered in Boston  Massachusetts.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACEV,ACE Convergence Acquisition Corp,ACE Convergence Acquisition Corp. The company is headquartered in Wilmington  Delaware.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACEVU,ACE Convergence Acquisition Corp,ACE Convergence Acquisition Corp. The company is headquartered in Wilmington  Delaware.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACEVW,ACE Convergence Acquisition Corp,ACE Convergence Acquisition Corp. The company is headquartered in Wilmington  Delaware.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACGL,Arch Capital Group Ltd,Arch Capital Group Ltd.  offers insurance  reinsurance and mortgage products worldwide. The company is headquartered in Pembroke  Bermuda.,NASDAQ,Finance,Fire  Marine & Casualty Insurance,04/10/2021 21:00
ACGLN,Arch Capital Group Ltd,None,NASDAQ,Finance,Fire  Marine & Casualty Insurance,04/10/2021 21:00
ACGLO,Arch Capital Group Ltd,Arch Capital Group Ltd.  offers insurance  reinsurance and mortgage products worldwide. The company is headquartered in Pembroke  Bermuda.,NASDAQ,Finance,Fire  Marine & Casualty Insurance,04/10/2021 21:00
ACGLP,Arch Capital Group Ltd,Arch Capital Group Ltd.  offers insurance  reinsurance and mortgage products worldwide. The company is headquartered in Pembroke  Bermuda.,NASDAQ,Finance,Fire  Marine & Casualty Insurance,04/10/2021 21:00
ACH,Aluminum Corporation of China Limited,Aluminum Corporation of China Limited  manufactures and sells alumina  primary aluminum and energy products in the People's Republic of China. The company is headquartered in Beijing  the People's Republic of China.,NYSE,Manufacturing,Primary Production Of Aluminum,04/10/2021 21:00
ACHC,Acadia Healthcare Company Inc,Acadia Healthcare Company  Inc. develops and operates inpatient psychiatric facilities  residential treatment centers  group homes  substance abuse facilities  and outpatient behavioral health facilities to serve the behavioral health and recovery needs of the communities in the United States. United States and Puerto Rico. The company is ,NASDAQ,Life Sciences,Services-Specialty Outpatient Facilities  Nec,04/10/2021 21:00
ACHL,Achilles Therapeutics plc,Achilles Therapeutics Plc  a clinical-stage immuno-oncology biopharmaceutical company  develops precision T-cell therapies to treat various types of solid tumors. The company is headquartered in London  the United Kingdom.,NASDAQ,Technology,General,04/10/2021 21:00
ACHV,Achieve Life Sciences Inc,Achieve Life Sciences  Inc.  a clinical-stage pharmaceutical company  develops and markets cytisinicline for smoking and nicotine addiction cessation in the United States and internationally. The company is headquartered in Vancouver  Canada.,NASDAQ,Life Sciences,In Vitro & In Vivo Diagnostic Substances,04/10/2021 21:00
ACI,Albertsons Companies Inc,Albertsons Companies  Inc. participates in the pharmacy and food operation in the United States. ,NYSE,Trade & Services,Retail-Grocery Stores,04/10/2021 21:00
ACII,Atlas Crest Investment Corp II,Atlas Crest Investment Corp. The company is headquartered in New York  New York.,NYSE,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACIU,AC Immune SA,AC Immune SA  a clinical-stage biopharmaceutical company  discovers  designs and develops drugs and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. The company is headquartered in Lausanne  Switzerland.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACIW,ACI Worldwide Inc,ACI Worldwide  Inc.  a software company  develops  markets  installs and supports a variety of software products and solutions to facilitate electronic payments to banks  financial intermediaries  merchants and invoice issuers globally. The company is headquartered in Naples  Florida.,NASDAQ,Technology,Services-Prepackaged Software,04/10/2021 21:00
ACKIT,Ackrell SPAC Partners I Co,None,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACKIU,Ackrell SPAC Partners I Co,None,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACKIW,Ackrell SPAC Partners I Co,Ackrell SPAC Partners I Co.  a blank checking company  focuses on effecting a merger  stock exchange  asset acquisition  stock purchase  recapitalization  reorganization  and other similar business combinations. The company is headquartered in Claymont  Delaware.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACLS,Axcelis Technologies Inc,Axcelis Technologies  Inc. designs  manufactures and services the ion implantation and other processing equipment used in the manufacture of semiconductor chips in the United States  Europe and Asia. The company is headquartered in Beverly  Massachusetts.,NASDAQ,Technology,Special Industry Machinery  Nec,04/10/2021 21:00
ACM,AECOM,AECOM provides professional construction and program management services in the Americas  Europe  the Middle East  Africa  and Asia Pacific. The company is headquartered in Los Angeles  California.,NYSE,Trade & Services,Services-Engineering Services,04/10/2021 21:00
ACMR,ACM Research Inc,ACM Research  Inc. develops  manufactures and sells single wafer wet cleaning equipment to improve the manufacturing process and performance of embedded chips globally. The company is headquartered in Fremont  California.,NASDAQ,Technology,Special Industry Machinery  Nec,04/10/2021 21:00
ACN,Accenture plc,Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin  Ireland since 2009.,NYSE,Trade & Services,Services-Business Services  Nec,04/10/2021 21:00
ACNB,ACNB Corporation,ACNB Corporation  a financial holding company  provides banking  insurance and financial services to individual  commercial and government clients in the United States. The company is headquartered in Gettysburg  Pennsylvania.,NASDAQ,Finance,State Commercial Banks,04/10/2021 21:00
ACOR,Acorda Therapeutics Inc,Acorda Therapeutics  Inc.  a biopharmaceutical company  develops and markets therapies for neurological disorders in the United States. The company is headquartered in Ardsley  New York.,NASDAQ,Life Sciences,Biological Products  (No Disgnostic Substances),04/10/2021 21:00
ACQR,Independence Holdings Corp,Independence Holdings Corp. The company is headquartered in New York  New York.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACQRU,Independence Holdings Corp,Independence Holdings Corp. The company is headquartered in New York  New York.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACQRW,Independence Holdings Corp,Independence Holdings Corp. The company is headquartered in New York  New York.,NASDAQ,Technology,General,04/10/2021 21:00
ACR,ACRES Commercial Realty Corp,ACRES Commercial Realty Corp. The company is headquartered in Westbury  New York.,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
ACRE,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate Corporation  a specialized finance company  originates and invests in commercial real estate loans (CRE) and related investments in the United States. The company is headquartered in New York  New York.,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
ACRS,Aclaris Therapeutics Inc,Aclaris Therapeutics  Inc. is a clinical-stage biopharmaceutical company developing a line of novel small molecule therapeutics to address the needs of patients with immuno-inflammatory diseases. The company is headquartered in Wayne  Pennsylvania.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACRX,AcelRx Pharmaceuticals Inc,AcelRx Pharmaceuticals  Inc.  a specialty pharmaceutical company  focuses on the development and commercialization of therapies for the treatment of acute pain. The company is headquartered in Redwood City  California.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACST,Acasti Pharma Inc,Acasti Pharma Inc.  a biopharmaceutical company  focuses on the research  development  and marketing of prescription drugs for the treatment of cardiovascular disease. The company is headquartered in Laval  Canada.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACTD,ArcLight Clean Transition Corp. II,ArcLight Clean Transition Corp. The company is headquartered in Boston  Massachusetts.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACTDU,ArcLight Clean Transition Corp. II,ArcLight Clean Transition Corp. The company is headquartered in Boston  Massachusetts.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ACTG,Acacia Research Corporation,Acacia Research Corporation intends to acquire undervalued businesses primarily in the technology  life sciences  industry and financial services segments in the United States. The company is headquartered in New York  New York.,NASDAQ,Real Estate & Construction,Patent Owners & Lessors,04/10/2021 21:00
ACU,Acme United Corporation,Acme United Corporation supplies cutting  measuring  first aid  sharpening and safety products for the school  home  office  hardware  sporting goods and industrial markets in the United States  Canada  Europe and Asia. The company is headquartered in Shelton  Connecticut.,NYSE MKT,Manufacturing,Cutlery  Handtools & General Hardware,04/10/2021 21:00
ACVA,ACV Auctions Inc,ACV Auctions  Inc.  operates a digital marketplace that connects buyers and sellers for online wholesale vehicle auctions. The company is headquartered in Buffalo  New York.,NASDAQ,Trade & Services,Services-Business Services  Nec,04/10/2021 21:00
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Acurx Pharmaceuticals  LLC  a clinical-stage biopharmaceutical company  develops antibiotics to treat bacterial infections. The company is headquartered in Staten Island  New York.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ACY,AeroCentury Corp,AeroCentury Corp. ,NYSE MKT,Trade & Services,Services-Equipment Rental & Leasing  Nec,04/10/2021 21:00
ADAG,Adagene Inc,Adagene Inc.  a clinical-stage biopharmaceutical company  is dedicated to the research  development  and production of monoclonal antibody drugs for cancer. The company is headquartered in Suzhou  China.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ADAP,Adaptimmune Therapeutics plc,Adaptimmune Therapeutics plc  a clinical-stage biopharmaceutical company  focuses on providing novel cell therapies primarily to solid tumor patients in the United States and the United Kingdom. The company is headquartered in Abingdon  the United Kingdom.,NASDAQ,Life Sciences,Biological Products  (No Disgnostic Substances),04/10/2021 21:00
ADBE,Adobe Inc,Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose  California  it has historically specialized in software for the creation and publication of a wide range of content  including graphics  photography  illustration  animation  multimedia  motion pictures and print. The ,NASDAQ,Technology,Services-Prepackaged Software,04/10/2021 21:00
ADC,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,NYSE,Real Estate & Construction,Real Estate Investment Trusts,04/10/2021 21:00
ADCT,ADC Therapeutics SA,ADC Therapeutics SA  a biotechnology company focused on clinical stage oncology  develops Antibody Drug Conjugates (ADC) for patients suffering from hematologic malignancies and solid tumors. The company is headquartered in Epalinges  Switzerland.,NYSE,Technology,General,04/10/2021 21:00
ADER,26 Capital Acquisition Corp,26 Capital Acquisition Corp. The company is headquartered in Miami  Florida.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADERU,26 Capital Acquisition Corp,26 Capital Acquisition Corp. The company is headquartered in Miami  Florida.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADERW,26 Capital Acquisition Corp,26 Capital Acquisition Corp. The company is headquartered in Miami  Florida.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADES,Advanced Emissions Solutions Inc,Advanced Emissions Solutions  Inc.  provides environmental technologies and specialty chemicals in the United States. The company is headquartered in Greenwood Village  Colorado.,NASDAQ,Life Sciences,Miscellaneous Chemical Products,04/10/2021 21:00
ADEX,Ade Corp,Adit EdTech Acquisition Corp. The company is headquartered in New York  New York.,NYSE,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADF,Aldel Financial Inc,Aldel Financial Inc. intends to effect a merger  stock exchange  asset acquisition  stock purchase  reorganization or similar business combination with one or more companies. The company is headquartered in Itasca  Illinois.,NYSE,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADGI,Adagio Therapeutics  Inc. Common Stock,None,NASDAQ,Technology,General,04/10/2021 21:00
ADI,Analog Devices Inc,Analog Devices  Inc. (ADI)  also known simply as Analog  is an American multinational semiconductor company specializing in data conversion  signal processing and power management technology  headquartered in Wilmington  Massachusetts.,NASDAQ,Manufacturing,Semiconductors & Related Devices,04/10/2021 21:00
ADIL,Adial Pharmaceuticals Inc,Adial Pharmaceuticals  Inc.  a clinical-stage biopharmaceutical company  focuses on the development of therapies for the treatment or prevention of addictions and related disorders. The company is headquartered in Charlottesville  Virginia.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ADILW,Adial Pharmaceuticals Inc. WT EXP 073123,None,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ADM,Archer-Daniels-Midland Company,The Archer-Daniels-Midland Company  commonly known as ADM  is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago  Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide  where cereal grains and oilseeds are processed into prod,NYSE,Manufacturing,Fats & Oils,04/10/2021 21:00
ADMA,ADMA Biologics Inc,ADMA Biologics  Inc.  a biopharmaceutical company  develops  manufactures and markets plasma-derived biological products specialized for the treatment of immunodeficiencies and infectious diseases in the United States. The company is headquartered in Ramsey  New Jersey.,NASDAQ,Life Sciences,Biological Products  (No Disgnostic Substances),04/10/2021 21:00
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation  a specialty biopharmaceutical company  develops and markets products in the therapeutic areas of allergies and respiratory diseases in the United States. The company is headquartered in San Diego  California.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ADMS,Adamas Pharmaceuticals Inc,Adamas Pharmaceuticals  Inc. is focused on the discovery  development  and commercialization of drugs for patients with chronic neurological disorders in the United States. The company is headquartered in Emeryville  California.,NASDAQ,Life Sciences,Pharmaceutical Preparations,04/10/2021 21:00
ADN,Advent Technologies Holdings Inc,Advent Technologies Holdings  Inc.  an advanced materials and technology development company  operates in the hydrogen and fuel cell technology markets. The company is headquartered in Boston  Massachusetts.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
ADNT,Adient plc,Adient plc designs  manufactures and markets a range of seating systems and components for passenger cars  commercial vehicles and light trucks. The company is headquartered in Dublin  Ireland.,NYSE,Manufacturing,Motor Vehicle Parts & Accessories,04/10/2021 21:00
ADNWW,Advent Technologies Holdings Inc,Advent Technologies Holdings  Inc. develops  manufactures and distributes high temperature proton exchange membrane (PEM) fuel cells. The company is headquartered in Cambridge  Massachusetts.,NASDAQ,Real Estate & Construction,Blank Checks,04/10/2021 21:00
